id,name,message_count
2947318,DKE,66455
2269972,Bros,2603
8988943,DKE Fantasy Football,600
14278446,Sigma Nu Summer 15,88
14368897,,1013
8787330,DKE startup,175
11903259,Sprint Football,714
5417914,Suite 5 Yellow,3423
11384813,DKE Ballerz,462
7021491,New DKE,4837
